Brand,Model,LINK,Style,Width MM,RETAIL EU,RETAIL US
PSE,GPX,"<a target=""_blank"" href=""https://www.precisionsimengineering.com/shop-online/gpx-steering-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458080000&amp,usg=AFQjCNFhAJwGBETReo38_gMVoUm4KWx1Fg"">GPX racing simulator steering wheel — Precision Sim Engineering</a>",Formula w/ screen,290,€2395.00,$2850.05
PSE,LM-X,"<a target=""_blank"" href=""https://www.precisionsimengineering.com/shop-online/lm-x-steering-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458081000&amp,usg=AFQjCNFjZMDCS_pDYL0_h2f0cbrW4EgNEQ"">LM-X Steering Wheel — Precision Sim Engineering</a>",Formula w/ screen,300,€2295.00,$2731.05
PSE,LM-PRO,"<a target=""_blank"" href=""https://www.precisionsimengineering.com/shop-online/lm-pro-steering-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458081000&amp,usg=AFQjCNGlKrMidAT9rKftQ0ZMtZn-7AUIuA"">LM-PRO racing simulator steering wheel — Precision Sim Engineering</a>",prototype no screen,300,€1499.00,$1783.81
PSE,GT1,"<a target=""_blank"" href=""https://www.precisionsimengineering.com/shop-online/gt1-steering-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458081000&amp,usg=AFQjCNFD96iCwQNm1rIcmnS87aX5-8bA3A"">GT1 racing simulator steering wheel — Precision Sim Engineering</a>",GT w/ screen,310,€1499.00,$1783.81
JacobeR Sim Racing,RSR,"<a target=""_blank"" href=""https://www.facebook.com/JacoberSimracing/posts/1281939265533686&amp,sa=D&amp,source=editors&amp,ust=1622247458081000&amp,usg=AFQjCNFQ_MqI257G0ySgebbwzhl4AON0nA"">(20+) JacobeR SimRacing - Posts / Facebook</a>",GT w/ screen,300,€1400.00,$1666.00
Rexing,FORMULA,"<a target=""_blank"" href=""https://rexing.eu/rexing-formula-wheel/&amp,sa=D&amp,source=editors&amp,ust=1622247458082000&amp,usg=AFQjCNHGKJZF3GhJ6LyE97T-3yoVUWvxpg"">Rexing Formula Steering Wheel - rexing.eu</a>",Formula w/ screen,290,€1200.00,$1428.00
Rexing,GT,"<a target=""_blank"" href=""https://rexing.eu/gt-wheel/&amp,sa=D&amp,source=editors&amp,ust=1622247458082000&amp,usg=AFQjCNHK-Q3K2jdvhE1RburFOPi4v0AGhg"">Rexing GT Steering Wheel - rexing.eu</a>",GT w/ screen,320,€1240.00,$1475.60
Cube Controls,FORMULA CSX-2,"<a target=""_blank"" href=""https://cubecontrols.com/product/formula-csx-2/&amp,sa=D&amp,source=editors&amp,ust=1622247458082000&amp,usg=AFQjCNG71o3WeYFWz5O7lCj5SB7HXaDJvw"">Cube Controls Formula CSX 2 - Steering Wheels for Sim racers</a>",Formula w/ screen,280,€1229.00,$1462.51
Simcore,OMP-GT-WD,"<a target=""_blank"" href=""https://simcore.com.au/omp-gt-wd-usb-sim-racing-steering-wheel/&amp,sa=D&amp,source=editors&amp,ust=1622247458082000&amp,usg=AFQjCNEWQTuYv-BIdql4Hx5dLrd9HupfoA"">OMP GT-WD USB sim racing steering wheel (simcore.com.au)</a>",prototype no screen,310,,$1429.00
Apex Sim Racing,OMP310,"<a target=""_blank"" href=""https://www.apexsimracing.com/collections/steering-wheels/products/lamborghini-huracan-super-trofeo-evo&amp,sa=D&amp,source=editors&amp,ust=1622247458083000&amp,usg=AFQjCNFmuasJBujB8dKF1x2JE0elPlH5iA"">APEX OMP 310 ST – Apex Sim Racing™️ LLC - Sim Racing Products</a>",prototype no screen,310,,$1400.00
HRS,GT8-USB SPARCO P310,"<a target=""_blank"" href=""https://hrsims.com/collections/steering-wheels/products/copy-of-hrs-gt8-mod-30-pro-suede-version&amp,sa=D&amp,source=editors&amp,ust=1622247458083000&amp,usg=AFQjCNF_j2FsGMSw_2ulqnyaHWGlKcUnxA"">HRS GT8-USB Sparco P310 – Hybrid Racing Simulations (hrsims.com)</a>",GT no screen,310,,$1300.00
HRS,GT8-USB MOMO MOD30,"<a target=""_blank"" href=""https://hrsims.com/collections/steering-wheels/products/momo-mod-30-320&amp,sa=D&amp,source=editors&amp,ust=1622247458083000&amp,usg=AFQjCNGjJqYp8xvptqdmdiowiRRiO2A6Zw"">HRS GT8-USB Momo Mod.30 – Hybrid Racing Simulations (hrsims.com)</a>",GT no screen,310,,$1300.00
Gomez,FORMULA PRO ELITE,"<a target=""_blank"" href=""https://gomezsimindustries.com/shop/p/formula-pro-elite&amp,sa=D&amp,source=editors&amp,ust=1622247458083000&amp,usg=AFQjCNFYmAKnJLPJWPzEWpWM-qdwIaTIPQ"">Formula Pro Elite — Gomez Sim Industries</a>",Formula w/ screen,310,,$1250.00
Ascher Racing,F64-USB,"<a target=""_blank"" href=""https://www.ascher-racing.com/shop/f64-usb/&amp,sa=D&amp,source=editors&amp,ust=1622247458084000&amp,usg=AFQjCNGfH1zQniZqu3W8pNd7dTV6LIaPSw"">F64-USB – Ascher Racing (ascher-racing.com)</a>",Formula no screen,285,€1000.00,$1190.00
VPG Sim Lab,Elemento,"<a target=""_blank"" href=""https://vpgsimlab.co.uk/shop/p/elemento&amp,sa=D&amp,source=editors&amp,ust=1622247458084000&amp,usg=AFQjCNHILDlDDlJ3GrqDvCQxN_pYVLCkvg"">https://vpgsimlab.co.uk/shop/p/elemento</a>",prototype w/ screen,300,950,$1130.50
PSE,GT3,"<a target=""_blank"" href=""https://www.precisionsimengineering.com/shop-online/gt3-steering-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458084000&amp,usg=AFQjCNHGzrG1OOtO6Mvy53sHmX-Xwp1oDw"">GT3 racing simulator steering wheel — Precision Sim Engineering</a>",GT no screen,310,895,$1065.05
Speed Max Racing,F1-SMRH-70,"<a target=""_blank"" href=""https://www.speedmaxracing.it/en/steering-wheel/18-gt1-rim-addon-carbon-clutches-logitech-thrustmaster-osw.html&amp,sa=D&amp,source=editors&amp,ust=1622247458084000&amp,usg=AFQjCNExaw_1LjhRlTE5evI6mdjejD0A0g"">F1-SMRH-70 - Steering Wheel - SpeedMaxRacing</a>",prototype w/ screen,300,850,$1011.50
Simcore,OMP SBT,"<a target=""_blank"" href=""https://simcore.com.au/omp-sbt/&amp,sa=D&amp,source=editors&amp,ust=1622247458085000&amp,usg=AFQjCNF1-GNce_9RbDa9jL8drv7FA3vbNA"">OMP SBT GT / GTE style sim racing wireless steering wheel (simcore.com.au)</a>",GT no screen,,,$950.00
